id,contact_id,product_id,created_at
58f54baa-73ac-4a08-8210-be2d9867cab1,30b523b3-aa4e-4d5d-974c-c2285051d183,6bd9dc3e-ee7b-4d74-9b44-9ef03ec6513f,2020-11-05T11:10:44Z
707425cb-34b3-4833-b7b6-9c07b45c0b1c,30b523b3-aa4e-4d5d-974c-c2285051d183,c2c6c4f7-982b-42bb-b81c-6e2e7eca7f3e,2020-11-05T11:10:44Z
b293693f-6a3e-4c92-b190-4f8376492391,30b523b3-aa4e-4d5d-974c-c2285051d183,772dde65-f706-4b6b-b6b7-67a24e4aee33,2020-11-05T11:10:44Z
b3777b60-fb1c-4f5a-af2e-5fee2bc5868f,30b523b3-aa4e-4d5d-974c-c2285051d183,256c970d-7bca-4fb2-9324-b412fb7ac882,2020-11-05T11:10:44Z
d10c8faa-c457-4ab5-ac99-b382c8d2c017,30b523b3-aa4e-4d5d-974c-c2285051d183,b01cbb0b-891c-4e0b-840a-7c2d00e7ee6d,2020-11-05T11:10:44Z
111ea7b8-0372-4597-83a0-2676b818a5a1,30b523b3-aa4e-4d5d-974c-c2285051d183,f0560cc9-5b8b-409e-ba64-3ee53ff78f33,2020-11-05T11:10:44Z
47c69069-d2b8-41ad-bcd5-1fed554cddd4,30b523b3-aa4e-4d5d-974c-c2285051d183,6778c65b-36b1-4458-81a5-6c4716758c9e,2020-11-05T11:10:44Z
2ec7bb3a-dd38-44d0-ad6c-245820c82729,30b523b3-aa4e-4d5d-974c-c2285051d183,824c304b-a8b8-4275-92b2-9bcf6414e55f,2020-11-05T11:10:44Z
eea2c209-824f-4f84-a600-29866347509d,30b523b3-aa4e-4d5d-974c-c2285051d183,8b140bdc-8277-482b-8a2e-f73292aad52c,2020-11-05T11:10:44Z
5e29a0bb-dd83-485a-b84c-2528d417bf3b,30b523b3-aa4e-4d5d-974c-c2285051d183,dff1fcc0-6b5c-4bec-b043-176bfcf001b5,2020-11-05T11:10:44Z
